Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
xemN4tP9RlK5c-yUT-M71Q,Mamasita Bar & Grill,818 10th Ave,"{'latitude': 40.76733, 'longitude': -73.98945}",1514,4.0,10019
SXWnyFNLCehVlJPRxk7gAg,Anejo Tribeca,301 Church St,"{'latitude': 40.71931499731559, 'longitude': -74.00427174111186}",638,4.0,10013
SOWmvC20kikJBoWE3TmppA,Rosa Mexicano,251 E 52nd St,"{'latitude': 40.75648947211715, 'longitude': -73.96785410691132}",74,3.5,10022
ry7XCoXXxS0DxRmzZLFybw,Taqueria Gramercy,218 3rd Ave,"{'latitude': 40.7363, 'longitude': -73.98531}",143,4.0,10003
NOh24SMS6k4pzNv8Ds7KDg,Cafe Habana,17 Prince St,"{'latitude': 40.722998, 'longitude': -73.994171}",3290,4.0,10012
TgoYhgbPCYhLBNtpue3QHg,Maya,1191 1st Ave,"{'latitude': 40.7632055528185, 'longitude': -73.9596225112209}",1063,3.5,10065
cy0vBvZu2Eb4XtRFCp8Seg,Conmigo,1685 1st Ave,"{'latitude': 40.77793, 'longitude': -73.94902}",333,4.0,10128
kn9rgR4KlvyTTi-s76OIaQ,Toloache 82nd,166 E 82nd St,"{'latitude': 40.776483, 'longitude': -73.956708}",503,4.0,10028
FavssEgZjXFi2unEXePkVQ,Tacombi,255 Bleecker St,"{'latitude': 40.73112, 'longitude': -74.00272}",469,4.0,10014
M1YYZ9cTVuMXLji_XF6rzg,Dos Caminos,373 Park Ave S,"{'latitude': 40.7422737, 'longitude': -73.9846134}",1359,3.5,10016
RzKR9QcYP03EQ_8DxTxowg,Barrio Chino,253 Broome St,"{'latitude': 40.718022, 'longitude': -73.990026}",1176,4.0,10002
AUm7If5Cbvy20AnmyxE-xA,Dos Toros Taqueria,52 W 52nd St,"{'latitude': 40.7607084122727, 'longitude': -73.9784675091505}",101,3.5,10019
jUI2Mf4hUFPzhQGmPCL4aA,Amigo by Nai,29 2nd Ave,"{'latitude': 40.724686, 'longitude': -73.99086}",96,4.5,10003
e7krRmyE5upHv2gsEOdR8w,Mayamezcal,304 E 6th St,"{'latitude': 40.72711, 'longitude': -73.98817}",619,4.0,10003
TULCjzJjDMlpruzjCcB9rw,Mermaid Mexicana,79 MacDougal St,"{'latitude': 40.72879, 'longitude': -74.00165}",15,4.0,10012
iTj5T_jPYvznd1QTgs7NZw,Nai ,84 2nd Ave,"{'latitude': 40.7265319, 'longitude': -73.9888568}",1058,4.5,10003
d7YbQzGlmawMGAzUHzZvuw,Tacombi,267 Elizabeth St,"{'latitude': 40.72402294103019, 'longitude': -73.99386129999999}",1201,4.0,10012
7YYp_2WYWdRSt_NohV7Psw,Casa Birria NYC,86th & 3rd Ave,"{'latitude': 40.778824, 'longitude': -73.953986}",90,5.0,10028
skN-mgnOezFQr9YNh5G5TQ,Lolita's Kitchen,1364 Lexington Ave,"{'latitude': 40.7824207446896, 'longitude': -73.9534502033954}",135,4.0,10128
DQuwci5xgJxXx7dxxp9FBA,Taqueria St. Marks Place,79 St Marks Pl,"{'latitude': 40.72788723475379, 'longitude': -73.98557625767012}",471,4.0,10003
BdHWUmVFuo1R8Lctv4K1Ow,El Parador Cafe,325 E 34th St,"{'latitude': 40.7444599, 'longitude': -73.97472}",489,4.0,10016
rbAxZRKdMoMxeonDTmooFg,El Vez,259 Vesey St,"{'latitude': 40.7147356376792, 'longitude': -74.015635}",766,3.5,10282
LQHegfNHe7ylY3bocrFlpg,Calle Dao - Bryant Park,38 W 39th St,"{'latitude': 40.752167, 'longitude': -73.98422161374535}",1866,4.0,10018
xGNzAsakHgbbl9fwgSoiUg,Kahlo,525 West 29th St,"{'latitude': 40.752092, 'longitude': -74.0026757}",222,4.0,10001
clTandR9fDd4OaREI8qTsQ,El Tepeyac Taqueria,1505 Lexington Ave,"{'latitude': 40.78665, 'longitude': -73.95019}",3,5.0,10029
L5eqJRy8Yx_4El6rUxWmBw,El Vez Burrito Bar,259 Vesey St,"{'latitude': 40.7147356376792, 'longitude': -74.015635}",155,4.0,10282
jnEv25Y2DosTq2sNnvmC9g,Los Tacos No.1,75 9th Ave,"{'latitude': 40.7422546402357, 'longitude': -74.0059581}",3694,4.5,10011
tcAUSOnV9ZWR0y-Tv25h_w,Raiz Modern Mexican ,120 1st Ave,"{'latitude': 40.72708, 'longitude': -73.98546}",67,5.0,10009
