Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
M-odQWSEfsR2mVEw7nKG-g,Nyonya,199 Grand St,"{'latitude': 40.719116974367, 'longitude': -73.9968322948353}",2323,4.0,10013
3oB2_2vpeIyxJt1GvlcZBA,Baodega,7 W 20th St,"{'latitude': 40.740201, 'longitude': -73.991727}",281,4.0,10011
pBNMZp_tKCAfRNx7-ybcHQ,Calle Dao - Chelsea,461 W 23rd St,"{'latitude': 40.74765439999999, 'longitude': -74.00352480000001}",997,4.5,10011
croh2zWlbPyCQTNS11klcg,China River 川聚院,258 W 44th St,"{'latitude': 40.75821, 'longitude': -73.98833}",263,4.0,10036
YDZX2bJ1IyV0lunBYqbb4w,New Chinatown  Asian Cuisine/ Bar,1650 3rd Ave,"{'latitude': 40.782945, 'longitude': -73.95132}",3,4.5,10128
83zDAk03lFXkgImgkLhT9w,Chi Restaurant & Bar,492 9th Ave,"{'latitude': 40.75547, 'longitude': -73.99439}",41,4.0,10018
sfsjk1h50ooC2ioY7m48gw,Pig Heaven,1420 3rd Ave,"{'latitude': 40.77544, 'longitude': -73.95686}",489,4.0,10028
kXYTWVIPTnCukSo2jfxZ8A,East River Eatery,408 E 64th St,"{'latitude': 40.762351, 'longitude': -73.959067}",76,4.5,10065
SYFLyQAFRFoDURRWafeLKA,Lin & Daughters,181 West 4th St,"{'latitude': 40.73253, 'longitude': -74.00167}",16,5.0,10014
VW2Epq3C8jqysu6Edpu-RA,Atlas Kitchen,258 W 109th St,"{'latitude': 40.80332, 'longitude': -73.9668}",182,4.0,10025
C3tP0fNNAoxOAC3O406CXQ,Le Sia,651 9th Ave,"{'latitude': 40.76072, 'longitude': -73.99119}",129,4.5,10036
SNhDVaf_n7VDZcfry8mYdA,The Bao,13 St Marks Pl,"{'latitude': 40.72939, 'longitude': -73.9889199}",1405,4.0,10003
fbxOVzLvmIB13_5adb1hfQ,Our New Place,242 E 79th St,"{'latitude': 40.77347, 'longitude': -73.95576}",23,4.0,10075
iiP46Z-A_ClynkS_qFQKEQ,Munchiez by Mei Lai Wah,126 MacDougal St,"{'latitude': 40.730027, 'longitude': -74.000204}",86,5.0,10012
xCHApgtkLpEyh0lz-uhZvg,Szechuan Garden,239 W 105th St,"{'latitude': 40.80053, 'longitude': -73.967586}",374,4.0,10025
Y92VtOkTZ6BirkJbUKCMOw,Rong Cheng House,242 W 56th St,"{'latitude': 40.76572, 'longitude': -73.98286}",127,4.0,10019
rBUTVjRs5CcEMe3dfVRZJQ,Ho Foods,110 E 7th St,"{'latitude': 40.72634, 'longitude': -73.98478}",401,4.0,10009
qGgQMVExGERqGhZNDM2ROg,Wu Liang Ye,36 W 48th St,"{'latitude': 40.75781, 'longitude': -73.97994}",557,3.5,10036
scTDvJ2M2jDbb1ntVeIyxA,Hao Noodle - West Village,401 6th Ave,"{'latitude': 40.7334863190479, 'longitude': -73.9998929006093}",833,4.0,10014
SBJHGtqJyfaU47NPjGAU6A,China Jade,1643 2nd Ave,"{'latitude': 40.777392, 'longitude': -73.952329}",212,3.5,10028
0vg2Z-HPwkyVVX613j2ysg,Peng's Noodle Folk,1659 1st Ave,"{'latitude': 40.77726, 'longitude': -73.94932}",536,4.5,10028
iM2DKMjyU_R1r8x-3AZGQg,New Cottage,2199 Broadway,"{'latitude': 40.78326357630784, 'longitude': -73.98078454782609}",69,4.0,10024
_fTRTishY3G5dLPLYGCVAw,Tipsy Shanghai,594 3rd Ave,"{'latitude': 40.74879, 'longitude': -73.9761}",36,4.0,10016
LVkBYW-FNaZ2h-0zB8-vzA,Jiang's Kitchen,65 St Marks Pl,"{'latitude': 40.72808, 'longitude': -73.98615}",48,4.5,10003
nI1UYDCYUTt23TpGxqnLKg,Buddakan,75 9th Ave,"{'latitude': 40.7422762672197, 'longitude': -74.0048000961542}",4471,4.0,10011
olRNNJCJ2TJvPRmjBiOcGA,Silky Kitchen,137 E 13th St,"{'latitude': 40.73297, 'longitude': -73.98829}",282,4.5,10003
Q85ScF9s6vlS5_i453AFvg,Tangy Noodle,98 8th Ave,"{'latitude': 40.740203, 'longitude': -74.00193}",19,4.5,10011
1jAB_uaI8-P_wSqOo2S3KQ,Mazu Szechuan,495 3rd Ave,"{'latitude': 40.745234, 'longitude': -73.97812}",111,4.5,10016
GuzlMBKNoClNx5I1-x-DDg,53 NYC,53 W 53rd St,"{'latitude': 40.76179318437133, 'longitude': -73.9780863}",60,4.0,10019
AHrU1F123QPdVPTCnsy_xA,Chalong,749 9th Ave,"{'latitude': 40.763924, 'longitude': -73.988883}",46,5.0,10019
7ZQSMqWzvXMSetXnii2fBg,Excellent Dumpling House,165 W 23rd St,"{'latitude': 40.7440494396358, 'longitude': -73.995028194335}",755,4.0,10011
R26zweQ8-xoZS7iHkXQOvw,Shanghai 21,21 Mott St,"{'latitude': 40.71441, 'longitude': -73.99902}",1928,4.0,10013
lQ8Fzgji9qmgRXkFcvAsVQ,Chong Qing Xiao Mian,796 9th Ave,"{'latitude': 40.76513, 'longitude': -73.98753}",341,4.0,10019
SFleMiroXTeWnXfonRic-w,Fast Wok,260 Brook Ave,"{'latitude': 40.808, 'longitude': -73.9187199}",8,4.0,10454
dDXtga5Kgo5B1twdezcZJA,Auntie Guan's Kitchen ,108 W 14th St,"{'latitude': 40.73748, 'longitude': -73.99752}",380,3.5,10011
WVsPyl-DGRu0O_rQYdIMVQ,The Best Sichuan,47 W 39th St,"{'latitude': 40.75266, 'longitude': -73.98459}",94,4.5,10018
6YehBdKHcLDsvaewhcEjFQ,Hey Yuet,251 W 26th St,"{'latitude': 40.74703, 'longitude': -73.99645}",180,4.5,10001
l44CFBTejwL0ElKmkH7xQQ,Decoy,529 Hudson St,"{'latitude': 40.734207418277244, 'longitude': -74.006519}",455,4.0,10014
Kqb7MjTPNkjPMoFRd-rWpw,MáLà Project,122 1st Ave,"{'latitude': 40.72713, 'longitude': -73.98542}",863,4.0,10009
NN3mOWF5e_pnR1ArqM2bHQ,OBAO,647 9th Ave,"{'latitude': 40.7606544, 'longitude': -73.991332}",3783,4.0,10036
rGUv1nNmsvy2jOlZtbaOpw,Dimsum Garden,338 Lexington Ave,"{'latitude': 40.74979, 'longitude': -73.97743}",67,4.5,10016
hNFe8WhCibrqT4sFcZmAgw,Kong Sihk Tong 港食堂,65 Bayard St,"{'latitude': 40.715433714742154, 'longitude': -73.9981186386701}",639,4.0,10013
